Issue Link,Bug Type,Root Cause,Effect,Rational
https://github.com/huggingface/pytorch-image-models/issues/2687,API Bug,API Change (APIC),Crash,"BT:  It was fixed on the PyTorch side
RC: PyTorch API changed
ET: Throws TypeError"
https://github.com/sktime/pytorch-forecasting/issues/2246,Initialization Bug,Others,Unknown,"BT: n_plotting_samples initialization logic incorrect
RC: not related to DL
ET: Not Specified"
https://github.com/pytorch/pytorch/issues/178769,API Bug,API Misuse (APIM),Incorrect Functionality,"BT: API got wrong argument
RC: assertEqual matching with incorrect value
ET: Returns incorrect result"
https://github.com/NVIDIA/nvalchemi-toolkit-ops/issues/49,SB.Data flow Bug,Unaligned Tensor (UT),Crash,"BT:  Data shape issue
RC: reshaper added to make the tensor size correct
ET: returns incorrect virial shape"
https://github.com/sgl-project/sglang/issues/21688,SB.Control and Sequence Bug,Absence of type checking,Incorrect Functionality,"BT: condition added
RC: Spefic type checker added
ET: Not support streaming image processing"
https://github.com/ultralytics/ultralytics/issues/24064,API Bug,API Misuse (APIM),Bad Performance,"BT: augment-heavy features disabled, e.g. mosaic=0, mixup=0, copy_paste=0, cache=False, and amp=False
RC: API arguments not passed correctly
ET: Memory consumption high"
https://github.com/huggingface/lerobot/issues/3247,API Bug,API Change (APIC),Bad Performance,"BT: an issue with the recent transformers version 
RC: API changed in the new version
ET:  0% success rate"
https://github.com/ENPICOM/immunum/issues/42,API Bug,API Misuse (APIM),Incorrect Functionality,"BT: imp.number api invoked with incorrect parameter and some logic incorrect
RC: API got incorrect parameters
ET: Not specified"
https://github.com/inclusionAI/AReaL/issues/1103,SB.Control and Sequence Bug,Absence of type checking,Crash,"BT:  Additional if block added
RC: Checker added for padding length
ET: Throws RuntimeError"
https://github.com/Comfy-Org/ComfyUI/issues/13214,NMSB.Logic Bugs,Others,Crash,"BT: Code order icorrect
RC: Not related to DL
ET:  Throws RuntimeError"
https://github.com/vllm-project/vllm-omni/issues/2304,Initialization Bug,Others,Crash,"BT: spk_id_map and spk_id incorrectly initialized
RC: Not a part of DL
ET: Throws ValueError"
https://github.com/mllam/neural-lam/issues/526,Initialization Bug,API Misuse (APIM),Incorrect Functionality,"BT: torch.sqrt and pred_std incorrectly initialized
RC: torch.sqrt api misuesd
ET:  ignore pred_std during ensemble generation"
https://github.com/ace-step/ACE-Step-1.5/issues/950,NMSB.Logic Bugs,Others,Incorrect Functionality,"BT: Certain non-model logic not implemented
RC: Not related to DL
ET: Cannot start acestep"
https://github.com/huggingface/transformers/issues/45072,Initialization Bug,API Misuse (APIM),Data Corruption,"BT: router_logits and pixel_values incorrectly initialized
RC: pixel_values.to and self.classifier API misused
ET: dtype mismatches"
https://github.com/awslabs/awsome-distributed-training/issues/1041,NMSB.Logic Bugs,API Misuse (APIM),Memory Out of Bound,"BT: missed specific logical operation
RC: torch.cuda.set_device api work added
ET:  all workers default to GPU 0"
https://github.com/FluidInference/FluidAudio/issues/445,SB.Control and Sequence Bug,Absence of type checking,Incorrect Functionality,"BT: certain conditional check deleted and added
RC: multiArrayValue checker added
ET: audio is scratchy/distorted with raw noise"
https://github.com/vllm-project/vllm/issues/38347,Data Bug,Others,Hang,"BT: User's input context is large
RC: Not a DL issue
ET: stuck after long time running"
https://github.com/huggingface/lerobot/issues/3227,NMSB.Logic Bugs,API Misuse (APIM),Incorrect Functionality,"BT: new_info creation process logic incorrect
RC: API invoked in incorrect sequence
ET: flag gets overwritten"
https://github.com/candle-org/candle/issues/273,NMSB.Logic Bugs,Others,Crash,"BT: Added specific non-model logics
RC: Not related to DL
ET: matmul backward crashes"
https://github.com/pytorch/tensordict/issues/1667,SB.Control and Sequence Bug,Absence of type checking,Crash,"BT: a new checker added
RC: HigherOrderOperator type checker added
ET: Throws UncapturedHigherOrderOpError"
https://github.com/kornia/kornia/issues/3670,API Bug,API Misuse (APIM),Incorrect Functionality,"BT: Wrong api invoked
RC: Wrong API
ET:  leaves the Red and Blue channels flipped"
https://github.com/lucidrains/vit-pytorch/issues/359,API Bug,API Misuse (APIM),Crash,"BT: torch.randn api incorrectly invoked
RC: Wrong parameter passed 
ET:  Throws RuntimeError"
https://github.com/lucidrains/vit-pytorch/issues/358,API Bug,API Misuse (APIM),Unknown,"BT: topk (wrong) api used
RC: Non-deterministic API used 
ET: crashes or produces NaN gradients."
https://github.com/vllm-project/vllm/issues/45071,API Bug,API Misuse (APIM),Crash,"BT: torch.compile api misused
RC:  sequence_lengths parameter not passed
ET:  Throws RuntimeError"
https://github.com/ultralytics/ultralytics/issues/24771,API Bug,API Misuse (APIM),Crash,"BT:  onnx.save api misused
RC: calibration_data not passed
ET: TensorRT error"
https://github.com/p-e-w/heretic/issues/371,API Bug,API Change (APIC),Crash,"BT:  API version incorrect
RC:  API changed in the new version
ET:  Throws ValueError"
https://github.com/unslothai/unsloth-zoo/issues/737,NMSB.Logic Bugs,Absence of inter API compatibility,Crash,"BT:  Function not implemented
RC:  Required function not implemeted to make it compatible 
ET:  Throws AttributeError"
https://github.com/huggingface/transformers/issues/46515,API Bug,API Change (APIC),Crash,"BT: pytorch version changed 
RC:  pytorch API changed
ET: Throws AttributeError"
https://github.com/synapt-dev/recall/issues/827,Initialization Bug,Absence of type checking,Crash,"BT: _device incorrectly initialized
RC:  _device type checker not added
ET:  Hard crash"
https://github.com/mir-group/nequip/issues/601,Initialization Bug,API Misuse (APIM),Crash,"BT:  cell value incorrectly initialized
RC:  cell.contiguous api not invoked
ET:  Throws RuntimeError"
https://github.com/scikit-hep/coffea/issues/1568,Initialization Bug,API Misuse (APIM),Crash,"BT:  arr not converted for gpu 
RC:  to method not invoked 
ET:  Throws  PyTorch error"
https://github.com/Puneet04-tech/AegisGraph-Sentinel-2.0/issues/969,NMSB.Logic Bugs,Absence of type checking,Crash,"BT: some logical checkers missed
RC: added checker for config_requests_mlflow
ET: Throws ModuleNotFoundError"
https://github.com/ultralytics/ultralytics/issues/24737,Initialization Bug,API Misuse (APIM),Incorrect Functionality,"BT:  pbar.set_description api misured
RC:  batch size parameter incorrectly passed
ET:  batch size value incorrect"
https://github.com/KeWu5678/NNforHJB/issues/16,NMSB.Logic Bugs,Absence of inter API compatibility,Memory Out of Bound,"BT: Missed some logical implementation 
RC: Replace functional.jacobian (O(N·d·P) tape) with closed-form chain-rule
ET:  Throws OOMs"
https://github.com/unslothai/unsloth/issues/6089,NMSB.Logic Bugs,API Misuse (APIM),Crash,"BT:  Returned iterator instead of iterating through the elements
RC: wrong api (iter) used
ET:  Throws ValueError"
https://github.com/vllm-project/vllm-omni/issues/4247,SB.Control and Sequence Bug,Absence of type checking,Crash,"BT:  logical checker issue
RC: norm checker added 
ET: Throws RuntimeError"
https://github.com/intel/torch-xpu-ops/issues/3889,NMSB.Logic Bugs,Absence of inter API compatibility,Crash,"BT: Missed logical steps
RC: prepacked linear requires XNNPACK support
ET:  Throws AttributeError"
https://github.com/tile-ai/tilelang/issues/2352,NMSB.Logic Bugs,Others,Crash,"BT:  Logical process after if detect_inplace incorrect
RC: Testing code
ET:  Throws error ""CUDA"
https://github.com/PriorLabs/tabpfn-extensions/issues/307,Initialization Bug,Unaligned Tensor (UT),Incorrect Functionality,"BT: y_fit incorrectly initialized
RC: X_fit index incorrect
ET:  the wrong density is computed silently"
https://github.com/Haoming02/sd-webui-forge-classic/issues/1205,SB.Control and Sequence Bug,Absence of type checking,Crash,"BT:  Added checker for gradient
RC: Added conditional checks 
ET:  Throws AttributeError"
https://github.com/debpalash/OmniVoice-Studio/issues/283,NMSB.Logic Bugs,Absence of type checking,Crash,"BT:  Added logical checker
RC: Added type checking for tqdm
ET:  Throws OSError"
https://github.com/Lightning-AI/pytorch-lightning/issues/21757,Initialization Bug,API Misuse (APIM),Crash,"BT:   restore function incorrectly initialized
RC:  _checkpoint_connector.restore api misused
ET:  Throws UnpicklingError"
https://github.com/apache/tvm/issues/19676,SB.Control and Sequence Bug,Absence of type checking,Crash,"BT:  added conditional check
RC:  ndim checker added
ET:  Throws InternalError"
https://github.com/sktime/sktime/issues/10326,API Bug,API Change (APIC),Crash,"BT:  API version issue
RC:  API changed in new version
ET:  Throws error"
https://github.com/keras-team/keras/issues/23038,SB.Control and Sequence Bug,Absence of type checking,Incorrect Functionality,"BT:  added conditional checker
RC:  added type checker for use_causal_mask
ET:  Drops casual masks"
https://github.com/Comfy-Org/ComfyUI/issues/14285,Initialization Bug,API Misuse (APIM),Crash,"BT:  self.embed_image_indicator incorrectly initialized
RC:  some APIs like self.embed_image_indicator and _img_to_tokens misused
ET:  throws NotImplementedError"
https://github.com/huggingface/sentence-transformers/issues/3795,SB.Control and Sequence Bug,Absence of type checking,Crash,"BT:  checker condition incorrect
RC:  added checker torch.distributed.is_available()
ET:  Throws AttributeError"
https://github.com/cedanl/edusynth/issues/10,SB.Control and Sequence Bug,Absence of type checking,Crash,"BT:   Condition checker added for synthesizer 
RC:  Added type check for cfg.synthesizer 
ET:   CTGANSynthesizer crasht"
https://github.com/YannikG/lexiflow/issues/47,SB.Control and Sequence Bug,Absence of type checking,Incorrect Functionality,"BT:  added conditional checks for llama_supervisor and embed_supervisor
RC: few conditinoal checks newly added
ET:  llama.cpp server exposes POST /v1/embeddings"
https://github.com/unslothai/unsloth/issues/6004,Initialization Bug,API Misuse (APIM),Incorrect Functionality,"BT: AUDIO_TOKENS list with Gemma 4's <|audio|> placeholder token (placeholder token worngly initialized)
RC: tokenizer.convert_tokens_to_ids api misused
ET: ignores audio content parts"
https://github.com/torch-spyre/spyre-inference/issues/230,NMSB.Logic Bugs,Others,Crash,"BT: Removes some unnecessary logical check
RC: None of the categories applies
ET:  server crashes"
https://github.com/RL-Align/RL-Kernel/issues/78,Initialization Bug,API Misuse (APIM),Incorrect Functionality,"BT: some values like candidateReviewers and dummy incorrectly initialized
RC: torch.randn api misused
ET: produce incorrect measurements"
https://github.com/huggingface/diffusers/issues/13864,NMSB.Logic Bugs,Absence of type checking,Crash,"BT:  logical checker incorrect
RC: safety_checker instance checker incorect 
ET: Throws AttributeError"
https://github.com/NVlabs/curobo/issues/676,NMSB.Logic Bugs,Absence of type checking,Incorrect Functionality,"BT:  added logical checker
RC: added axis and joint_idx checker 
ET: URDF should be kinematically identical to the source"
